Element;Is in Variant

Context

PeerReview;false
ReviewFrameworkTuning;false
MeritPonderation;false
ContructiveFeedback;false
ReportWritingSpeedingUp;false
InstructionalFeedback;true
CaptureReadingEssence;false
ExtractRelevantConcepts;true
ExtractRelevantRelationships;true
AssignmentSpeedUp;false

Mechanisms

Highlighter;true
Canvas;false
ReferenceFinder;false
CommentGradation;false
SentimentAnalysis;false
Typo;false
BoilerPlateTemplate;false
ResumptionFacility;false
ConceptHandling;true
RelationHandling;true
